,Beers,Brewery,abv,Url
160,Long Play (LP) IPL,Notch Brewing,4.30,/beer/profile/22723/106208/
161,Red Rock,Hite Brewery Company LTD,5.00,/beer/profile/1472/36871/
162,Swell East Coast Lager,Outer Light Brewing Company,5.90,/beer/profile/38293/170079/
163,Summerfest Lager,Barley Creek Brewing Company, ? ,/beer/profile/835/31331/
164,Corky's Memphis Brew,Abita Brewing Co., ? ,/beer/profile/3/18571/
165,Original Joe's Honey Brown Lager,Big Rock Brewery,5.00,/beer/profile/391/67750/
166,Frogman Lager,The Bold Mariner Brewing Company,5.30,/beer/profile/43115/287411/
167,Red Dragon Red Lager,Dead Frog Brewing,5.00,/beer/profile/14598/214709/
168,Capitão Senra,Cervejaria Três Lobos Ltda.,5.30,/beer/profile/18388/106516/
169,Lazy Daze Amber Lager,Rochester Mills Beer Co.,5.10,/beer/profile/2346/132139/
170,Rouge,Fort Garry Brewing Company Ltd.,5.00,/beer/profile/4043/59692/
171,Krimson King,Accomplice Beer Company,5.20,/beer/profile/46017/280124/
172,Ghost Lights Amber Lager,Tribute Brewing Co.,6.00,/beer/profile/31809/133208/
173,Under The Red Light,Witch's Hat Brewing Co.,5.00,/beer/profile/25963/123226/
174,Stamp Hammer Oak Aged Amber Lager,Lake of Bays Brewing Company,6.50,/beer/profile/22439/188256/
175,Rickard's Red Session Lager,Molson Coors Canada,4.00,/beer/profile/433/216929/
176,Bohemia 1835,Sociedade Central de Cervejas,6.60,/beer/profile/301/28800/
177,Honey Lager,Dead Frog Brewing,5.00,/beer/profile/14598/50064/
178,Show Me Amber Lager,O'Fallon Brewery,4.60,/beer/profile/3268/413629/
179,Manila,San Miguel Fabricas De Cervaza Y Maltas S.A.,5.80,/beer/profile/12633/326626/
180,Pecos Amber,Texas Beer Co., ? ,/beer/profile/46321/326671/
181,Red Lager,Morgan Street Brewery,4.60,/beer/profile/593/13352/
182,Lakeport Red,Lakeport Brewing Company,5.90,/beer/profile/457/11851/
183,Saloon Juice,Oskar Blues Grill & Brew,4.50,/beer/profile/2681/477268/
184,Red Lager,Foothills Brewing Company - Downtown Brewpub,5.20,/beer/profile/11036/79991/
185,Red Light Lager,Marble Brewery,4.20,/beer/profile/16963/83327/
186,Snakes & Shamrocks,Wolverine State Brewing Company,4.60,/beer/profile/24808/178577/
187,Albino Rhino Signature Lager,Kamloops Brewery Ltd,5.00,/beer/profile/10049/67495/
188,Malquerida,Damm S. A.,5.00,/beer/profile/4949/321960/
189,Red Zone Lager,Amerisports Brew Pub, ? ,/beer/profile/2423/17838/
190,Sagamore Dark Lager,Oyster Bay Brewing Co.,6.30,/beer/profile/31837/228542/
191,Lake Sandy Rye,56 Brewing,5.60,/beer/profile/40320/170193/
192,Brenna A,Wild Ride Brewing Co.,5.00,/beer/profile/35491/325079/
193,BarrelShed No.1,Shawn & Ed Brewery Co,6.50,/beer/profile/47359/260314/
194,Freddy D Lager,Three Heads Brewing,5.50,/beer/profile/24355/243168/
195,Amber Lager,Saddlebock Brewery,5.00,/beer/profile/29171/133886/
196,Red Dawn,Indian Wells Brewing Company, ? ,/beer/profile/619/71184/
197,Amber Lager,Marzoni's Brick Oven & Brewing Company,5.20,/beer/profile/7101/149778/
198,Red Lager,South Shore Brewery, ? ,/beer/profile/787/26150/
199,Winter Warmer Amber Lager,The Spencer Brewery,5.30,/beer/profile/33618/513327/
200,S:t Eriks & Mathias Dahlgren Påsköl,S:t Eriks Bryggeri,5.30,/beer/profile/31482/90949/
201,Lumberyard Amber,Beaver Street Brewery & Whistle Stop Cafe,6.00,/beer/profile/1104/50761/
202,Honey Brown Lager,Big Surf Beer Co.,5.00,/beer/profile/27394/82778/
203,Dark,Lowertown Brewery,4.80,/beer/profile/35246/124767/
204,La Fuerza Borracho,Berryessa Brewing Co,5.00,/beer/profile/27322/220267/
